cidade,lat,lon,regiao
Fortaleza de Minas,-20.8508,-46.712,Sul/Sudoeste de Minas
Fortuna de Minas,-19.5578,-44.4472,Metropolitana de Belo Horizonte
Francisco Badaró,-16.9883,-42.3568,Jequitinhonha
Francisco Dumont,-17.3107,-44.2317,Norte de Minas
Francisco Sá,-16.4827,-43.4896,Norte de Minas
Franciscópolis,-17.9578,-42.0094,Vale do Mucuri
Frei Gaspar,-18.0709,-41.4325,Vale do Mucuri
Frei Inocêncio,-18.5556,-41.9121,Vale do Rio Doce
Frei Lagonegro,-18.1751,-42.7617,Vale do Rio Doce
Fronteira,-20.2748,-49.1984,Triângulo Mineiro/Alto Paranaíba
Fronteira dos Vales,-16.8898,-40.923,Vale do Mucuri
Fruta de Leite,-16.1225,-42.5288,Norte de Minas
Frutal,-20.0259,-48.9355,Triângulo Mineiro/Alto Paranaíba
Funilândia,-19.3661,-44.061,Metropolitana de Belo Horizonte
Galiléia,-19.0005,-41.5387,Vale do Rio Doce
Gameleiras,-15.0829,-43.125,Norte de Minas
Glaucilândia,-16.8481,-43.692,Norte de Minas
Goiabeira,-18.9807,-41.2235,Vale do Rio Doce
Goianá,-21.536,-43.1957,Zona da Mata
Gonçalves,-22.6545,-45.8556,Sul/Sudoeste de Minas
Gonzaga,-18.8196,-42.4769,Vale do Rio Doce
Gouveia,-18.4519,-43.7423,Jequitinhonha
Governador Valadares,-18.8545,-41.9555,Vale do Rio Doce
Grão Mogol,-16.5662,-42.8923,Norte de Minas
Grupiara,-18.5003,-47.7318,Triângulo Mineiro/Alto Paranaíba
Guanhães,-18.7713,-42.9312,Vale do Rio Doce
Guapé,-20.7631,-45.9152,Sul/Sudoeste de Minas
Guaraciaba,-20.5716,-43.0094,Zona da Mata
Guaraciama,-17.0142,-43.6675,Norte de Minas
Guaranésia,-21.3009,-46.7964,Sul/Sudoeste de Minas
Guarani,-21.3563,-43.0328,Zona da Mata
Guarará,-21.7304,-43.0334,Zona da Mata
Guarda-Mor,-17.7673,-47.0998,Noroeste de Minas
Guaxupé,-21.305,-46.7081,Sul/Sudoeste de Minas
Guidoval,-21.155,-42.7887,Zona da Mata
Guimarânia,-18.8425,-46.7901,Triângulo Mineiro/Alto Paranaíba
Guiricema,-21.0098,-42.7207,Zona da Mata
Gurinhatã,-19.2143,-49.7876,Triângulo Mineiro/Alto Paranaíba
Heliodora,-22.0644,-45.5453,Sul/Sudoeste de Minas
Iapu,-19.4387,-42.2147,Vale do Rio Doce
Ibertioga,-21.433,-43.9639,Campo das Vertentes
Ibiá,-19.4749,-46.5474,Triângulo Mineiro/Alto Paranaíba
Ibiaí,-16.8591,-44.9046,Norte de Minas
Ibiracatu,-15.6605,-44.1667,Norte de Minas
Ibiraci,-20.4611,-47.1222,Sul/Sudoeste de Minas
Ibirité,-20.0252,-44.0569,Metropolitana de Belo Horizonte
Ibitiúra de Minas,-22.0604,-46.4368,Sul/Sudoeste de Minas
Ibituruna,-21.1541,-44.7479,Oeste de Minas
Icaraí de Minas,-16.214,-44.9034,Norte de Minas
Igarapé,-20.0707,-44.2994,Metropolitana de Belo Horizonte
Igaratinga,-19.9476,-44.7063,Oeste de Minas
Iguatama,-20.1776,-45.7111,Oeste de Minas
Ijaci,-21.1738,-44.9233,Campo das Vertentes
Ilicínea,-20.9402,-45.8308,Sul/Sudoeste de Minas
Imbé de Minas,-19.6017,-41.9695,Vale do Rio Doce
Inconfidentes,-22.3136,-46.3264,Sul/Sudoeste de Minas
Indaiabira,-15.4911,-42.2005,Norte de Minas
Indianópolis,-19.0341,-47.9155,Triângulo Mineiro/Alto Paranaíba
Ingaí,-21.4024,-44.9152,Campo das Vertentes
Inhapim,-19.5476,-42.1147,Vale do Rio Doce
Inhaúma,-19.4898,-44.3934,Metropolitana de Belo Horizonte
Inimutaba,-18.7271,-44.3584,Central Mineira
Ipaba,-19.4158,-42.4139,Vale do Rio Doce
Ipanema,-19.7992,-41.7164,Vale do Rio Doce
Ipatinga,-19.4703,-42.5476,Vale do Rio Doce
Ipiaçu,-18.6927,-49.9436,Triângulo Mineiro/Alto Paranaíba
Ipuiúna,-22.1013,-46.1915,Sul/Sudoeste de Minas
Iraí de Minas,-18.9819,-47.461,Triângulo Mineiro/Alto Paranaíba
Itabira,-19.6239,-43.2312,Metropolitana de Belo Horizonte
Itabirinha,-18.5712,-41.234,Vale do Rio Doce
Itabirito,-20.2501,-43.8038,Metropolitana de Belo Horizonte
Itacambira,-17.0625,-43.3069,Norte de Minas
Itacarambi,-15.089,-44.095,Norte de Minas
Itaguara,-20.3947,-44.4875,Metropolitana de Belo Horizonte
Itaipé,-17.4014,-41.6697,Vale do Mucuri
Itajubá,-22.4225,-45.4598,Sul/Sudoeste de Minas
Itamarandiba,-17.8552,-42.8561,Jequitinhonha
Itamarati de Minas,-21.4179,-42.813,Zona da Mata
Itambacuri,-18.035,-41.683,Vale do Rio Doce
Itambé do Mato Dentro,-19.4158,-43.3182,Metropolitana de Belo Horizonte
Itamogi,-21.0758,-47.046,Sul/Sudoeste de Minas
Itamonte,-22.2859,-44.868,Sul/Sudoeste de Minas
Itanhandu,-22.2942,-44.9382,Sul/Sudoeste de Minas
Itanhomi,-19.1736,-41.863,Vale do Rio Doce
Itaobim,-16.5571,-41.5017,Jequitinhonha
Itapagipe,-19.9062,-49.3781,Triângulo Mineiro/Alto Paranaíba
Itapecerica,-20.4704,-45.127,Oeste de Minas
Itapeva,-22.7665,-46.2241,Sul/Sudoeste de Minas
Itatiaiuçu,-20.1983,-44.4211,Metropolitana de Belo Horizonte
Itaú de Minas,-20.7375,-46.7525,Sul/Sudoeste de Minas
Itaúna,-20.0818,-44.5801,Oeste de Minas
Itaverava,-20.6769,-43.6141,Metropolitana de Belo Horizonte
Itinga,-16.61,-41.7672,Jequitinhonha
Itueta,-19.3999,-41.1746,Vale do Rio Doce
Ituiutaba,-18.9772,-49.4639,Triângulo Mineiro/Alto Paranaíba
Itumirim,-21.3171,-44.8724,Campo das Vertentes
Iturama,-19.7276,-50.1966,Triângulo Mineiro/Alto Paranaíba
Itutinga,-21.3,-44.6567,Campo das Vertentes
Jaboticatubas,-19.5119,-43.7373,Metropolitana de Belo Horizonte
Jacinto,-16.1428,-40.295,Jequitinhonha
Jacuí,-21.0137,-46.7359,Sul/Sudoeste de Minas
Jacutinga,-22.286,-46.6166,Sul/Sudoeste de Minas
Jaguaraçu,-19.647,-42.7498,Vale do Rio Doce
Jaíba,-15.3432,-43.6688,Norte de Minas
Jampruca,-18.461,-41.809,Vale do Rio Doce
Janaúba,-15.8022,-43.3132,Norte de Minas
Januária,-15.4802,-44.3639,Norte de Minas
Japaraíba,-20.1442,-45.5015,Central Mineira
Japonvar,-15.9891,-44.2758,Norte de Minas
Jeceaba,-20.5339,-43.9894,Metropolitana de Belo Horizonte
Jenipapo de Minas,-17.0831,-42.2589,Jequitinhonha
Jequeri,-20.4542,-42.6651,Zona da Mata
Jequitaí,-17.229,-44.4376,Norte de Minas
Jequitibá,-19.2345,-44.0304,Metropolitana de Belo Horizonte
Jequitinhonha,-16.4375,-41.0117,Jequitinhonha
Jesuânia,-21.9887,-45.2911,Sul/Sudoeste de Minas
